FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,ECODISTRIC,ECOREGION,ECOZONE,CFS_ECOZ,SRC_AGY2
355171,NT,1966HY-004, ,60.633299999999998,-114.800000000000000,1966,6,17,1966-06-17 00:00:00,,,1960-1969,5670.000000000000000,H,Intensive, , ,NT-1966-1966HY-004, , ,,243,64,4,4,NT
367252,NT,1984CR-009, ,62.299999999999997,-109.733000000000000,1984,7,28,1984-07-28 00:00:00,,,1980-1989,1100.000000000000000,L,NA, , ,NT-1984-1984CR-009, , ,,262,69,5,5a,NT
367816,NT,1987SM-015, ,61.174999999999997,-112.539000000000000,1987,7,26,1987-07-26 00:00:00,,,1980-1989,2200.000000000000000,L,NA, , ,NT-1987-1987SM-015, , ,,263,69,5,5a,NT
316360,QC,20181080408, ,50.456400000000002,-79.059399999999997,2018,7,8,2018-07-08 00:00:00,2018-09-01 00:00:00,2018-09-01 00:00:00,2010-2019,5608.899999999999600,L,Nordique, , ,QC-2018-20181080408, , ,2019-05-01 00:00:00,1030,217,15,15,QC
245425,MB,NE-05-099-94, ,55.817000000000000,-101.967000000000000,1994,6,20,1994-06-20 00:00:00,1994-06-21 00:00:00,1994-07-06 00:00:00,1990-1999,9155.000000000000000,L,Intensive, , ,MB-1994-NE-05-099-94, , ,2008-07-24 00:00:00,353,88,6,6a,MB
316005,ON,RED44, ,51.309502199999997,-94.642613100000005,2015,6,26,2015-06-26 00:00:00,,2015-08-14 00:00:00,2010-2019,1024.000000000000000,L,MON,IFR, ,ON-2015-RED44,location not ignition - coords derived from poly, ,2016-06-23 00:00:00,372,90,6,6a,ON
158234,AB,DS4-014-61,DS4014,54.768400000000000,-116.158199999999990,1961,6,4,1961-06-04 00:00:00,,,1960-1969,730.983675577999970,L, , , ,AB-1961-DS4-014-61, , ,2020-06-01 00:00:00,619,145,9,9,AB
230657,SK,PETE,PETE,56.828099999999999,-106.281300000000000,1982,7,11,1982-07-11 00:00:00,,1982-07-26 00:00:00,1980-1989,768.336999999999990,L, ,Wildfire, ,SK-1982-PETE, , ,2020-04-03 00:00:00,348,88,6,6a,SK
239928,MB,106919N80, ,55.700000000000003,-90.879999999999995,1989,7,18,1989-07-18 00:00:00,,,1980-1989,2456.599999999999900,L,EXT, , ,MB-1989-106919N80, , ,2008-07-24 00:00:00,1024,216,15,15,MB
221725,SK,CABIN2,CABIN2,56.401000000000003,-109.281300000000000,1998,5,25,1998-05-25 00:00:00,,1998-06-28 00:00:00,1990-1999,2700.000000000000000,L, ,Wildfire, ,SK-1998-CABIN2, , ,2020-04-03 00:00:00,637,139,9,9,SK
376861,YT,1951CA041, ,61.907370000000000,-136.235752999999990,1951,9,14,1951-09-14 00:00:00,,,1950-1959,1508.680000000000100,H, , , ,YT-1951-1951CA041, , ,2016-06-16 00:00:00,897,175,12,12,YT
334811,QC,1983-7263, ,52.203539999999997,-75.830399999999997,1983,6,18,1983-06-18 00:00:00,,1983-07-18 00:00:00,1980-1989,13520.000000000000000,L,Nordique, , ,QC-1983-7263, , ,2018-05-18 00:00:00,287,72,5,5b,QC
228559,SK,COWBOY,COWBOY,49.138300000000001,-106.144700000000000,1988,5,30,1988-05-30 00:00:00,,1988-06-12 00:00:00,1980-1989,504.626446499999990,L, ,Wildfire, ,SK-1988-COWBOY, , ,2020-04-03 00:00:00,687,149,9,9,SK
